ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
1,Hot Tub Time Machine 2,Hot Tub Time Machine 2,6.575393,"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.","time travel, sequel, hot tub, duringcreditsstinger",Comedy,Hot Tub Time Machine Collection,en,English,"Paramount Pictures, United Artists, Metro-Goldwyn-Mayer (MGM)",United States of America,Steve Pink,2/20/15,93,Released,The Laws of Space and Time are About to be Violated.,Missing,tt2637294,14000000,12314651,2015
2,The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,8.248895,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...","coronation, duty, marriage, falling in love",Comedy,The Princess Diaries Collection,en,English,Walt Disney Pictures,United States of America,Garry Marshall,8/6/04,113,Released,It can take a lifetime to find true love; she's got 30 days!,Missing,tt0368933,40000000,95149435,2004
3,Whiplash,Whiplash,64.29999,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","jazz, obsession, conservatory, music teacher, new york city, violence, montage, drummer, public humiliation, jazz band, young adult, music school",Drama,Missing,en,English,"Bold Films, Blumhouse Productions, Right of Way Films",United States of America,Damien Chazelle,10/10/14,105,Released,The road to greatness can take you to the edge.,http://sonyclassics.com/whiplash/,tt2582802,3300000,13092000,2014
4,Kahaani,Kahaani,3.174936,"Vidya Bagchi (Vidya Balan) arrives in Kolkata from London to find her missing husband Arnab Bagchi. Seven months pregnant and alone in a festive city, she begins a relentless search for her husband. With nothing to rely on except fragments from her memories about him, all clues seem to reach a dead end when everyone tries to convince Vidya that her husband does not exist. She slowly realises that nothing is what it seems. In a city soaked in lies, Vidya is determined to unravel the truth about her husband - for herself and her unborn child - even at the cost of her own life.","mystery, bollywood, police corruption, crime, india, missing husband, nerve gas",Thriller,Missing,hi,"English, हिन्दी",,India,Sujoy Ghosh,3/9/12,122,Released,Missing,http://kahaanithefilm.com/,tt1821480,1200000,16000000,2012
5,Marine Boy,마린보이,1.14807,"Marine Boy is the story of a former national swimmer who finds himself in debt, and out of desperation is employed as a mule by a gangster boss, smuggling drugs by sea.",Missing,Action,Missing,ko,한국어/조선말,,South Korea,Jong-seok Yoon,2/5/09,118,Released,Missing,Missing,tt1380152,0,3923970,2009
6,Pinocchio and the Emperor of the Night,Pinocchio and the Emperor of the Night,0.743274,"Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so are the evil Scalawag and the Emperor of the Night.",Missing,Animation,Missing,en,English,,,Hal Sutherland,8/6/87,83,Released,Missing,Missing,tt0093743,8000000,3261638,1987
7,The Possession,The Possession,7.286477,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",Missing,Horror,Missing,en,English,"Ghost House Pictures, North Box Productions","United States of America, Canada",Ole Bornedal,8/30/12,92,Released,Fear The Demon That Doesn't Fear God,http://www.thepossessionmovie.com/,tt0431021,14000000,85446075,2012
8,Control Room,Control Room,1.949044,"A chronicle which provides a rare window into the international perception of the Iraq War, courtesy of Al Jazeera, the Arab world's most popular news outlet. Roundly criticized by Cabinet members and Pentagon officials for reporting with a pro-Iraqi bias, and strongly condemned for frequently airing civilian causalities as well as footage of American POWs, the station has revealed (and continues to show the world) everything about the Iraq War that the Bush administration did not want it to see.","journalism, translation, television, manipulation of the media, iraq, reporter, woman director",Documentary,Missing,en,"العربية, English",,,Jehane Noujaim,1/15/04,84,Released,Different channels. Different truths.,Missing,tt0391024,0,2586511,2004
9,Muppet Treasure Island,Muppet Treasure Island,6.902423,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.","island, pirate gang, puppet, treasure hunt",Action,The Muppet Collection,en,English,"Walt Disney Pictures, Jim Henson Productions, Jim Henson Company, The",United States of America,Brian Henson,2/16/96,100,Released,Set sail for Muppet mayhem!,Missing,tt0117110,0,34327391,1996
10,A Mighty Wind,A Mighty Wind,4.672036,"In ""A Mighty Wind"", director Christopher Guest reunites the team from ""Best In Show"" and ""Waiting for Guffman"" to tell tell the story of 60's-era folk musicians, who inspired by the death of their former manager, get back on the stage for one concert in New York City's Town Hall.","mockumentary, folk singer",Comedy,Missing,en,English,Castle Rock Entertainment,United States of America,Christopher Guest,4/16/03,91,Released,"Back together for the first time, again.",Missing,tt0310281,6000000,18750246,2003
